epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.198,2.39343,4.56936,1.50089,0.00264,0.28461,0.20491,0.06906,2.05108,4.47559,1.22302,0.00025722,0.00025722,0.00025722
2,280.514,2.03685,3.01621,1.21604,0.00433,0.39369,0.1407,0.04576,1.82586,4.07685,1.11889,0.000502558,0.000502558,0.000502558
3,395.229,2.04085,2.74947,1.28633,0.00491,0.46346,0.18948,0.10258,1.80949,3.79993,1.17364,0.000721016,0.000721016,0.000721016
4,507.971,1.98381,2.64842,1.24739,0.88765,0.15529,0.52189,0.25987,1.78398,3.05914,1.19981,0.000912595,0.000912595,0.000912595
5,622.763,1.83385,2.33284,1.28708,0.27708,0.51622,0.29895,0.14954,1.81399,2.9196,1.22719,0.00107729,0.00107729,0.00107729
6,732.194,1.87446,2.18687,1.24072,0.08074,0.58143,0.07996,0.03798,1.84281,6.7849,1.24101,0.00107532,0.00107532,0.00107532
7,850.235,1.85859,2.20738,1.21825,0.79878,0.66578,0.74364,0.35227,1.84146,2.07845,1.20117,0.00100459,0.00100459,0.00100459
8,962.023,1.85141,2.0905,1.18415,0.72119,0.64981,0.7185,0.38892,1.82056,2.04594,1.18553,0.000933851,0.000933851,0.000933851
9,1067.4,1.81829,1.9902,1.21139,0.75813,0.75387,0.75441,0.36259,1.87944,1.96916,1.22037,0.000863116,0.000863116,0.000863116
10,1188.95,1.77444,1.94216,1.17958,0.82344,0.71155,0.77513,0.37287,1.8775,1.87219,1.22845,0.00079238,0.00079238,0.00079238
11,1310.23,1.70421,1.9817,1.19376,0.83884,0.7043,0.79625,0.38052,1.88179,1.80017,1.24378,0.000721645,0.000721645,0.000721645
12,1431.52,1.63914,2.05689,1.16034,0.84341,0.73214,0.82039,0.38205,1.87858,1.80207,1.23664,0.000650909,0.000650909,0.000650909
13,1540.92,1.65821,1.98223,1.17715,0.87049,0.71268,0.81953,0.4071,1.83874,1.76382,1.22274,0.000580174,0.000580174,0.000580174
14,1661.84,1.60197,1.91812,1.16539,0.84388,0.76533,0.81574,0.4087,1.777,1.66379,1.18732,0.000509438,0.000509438,0.000509438
15,1798.94,1.59102,1.87667,1.12954,0.82141,0.74913,0.8127,0.39519,1.77611,1.72082,1.18497,0.000438703,0.000438703,0.000438703
16,1926.69,1.54943,1.76416,1.12316,0.89449,0.6875,0.82476,0.4173,1.76021,1.64445,1.18456,0.000367967,0.000367967,0.000367967
17,2083.72,1.56557,1.73632,1.11006,0.92507,0.68955,0.8361,0.42563,1.75286,1.58807,1.1874,0.000297232,0.000297232,0.000297232
18,2207.19,1.51579,1.64237,1.13175,0.79512,0.74714,0.83672,0.42285,1.76741,1.55584,1.19573,0.000226497,0.000226497,0.000226497
19,2326.65,1.48969,1.65284,1.12373,0.79267,0.73255,0.82499,0.42268,1.76721,1.53801,1.19752,0.000155761,0.000155761,0.000155761
20,2445.44,1.56072,1.61035,1.15032,0.72056,0.78009,0.83415,0.4171,1.76372,1.52435,1.20019,8.50255e-05,8.50255e-05,8.50255e-05
