epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.2968,1.64064,1.79769,1.12304,0.88522,0.79697,0.89926,0.47845,1.60438,1.54921,1.15078,0.00025722,0.00025722,0.00025722
2,151.791,1.54712,1.51368,1.11634,0.8878,0.88534,0.94887,0.49861,1.60377,1.33553,1.14714,0.000502558,0.000502558,0.000502558
3,225.794,1.5965,1.51148,1.15037,0.82811,0.82613,0.91542,0.49376,1.55853,1.40437,1.13049,0.000721016,0.000721016,0.000721016
4,299.867,1.49777,1.45117,1.09036,0.88618,0.86263,0.94475,0.47157,1.62141,1.4497,1.14761,0.000912595,0.000912595,0.000912595
5,373.809,1.48317,1.4345,1.05566,0.793,0.747,0.89002,0.51144,1.53036,1.51921,1.08683,0.00107729,0.00107729,0.00107729
6,435.628,1.47347,1.46923,1.09512,0.75153,0.77509,0.86702,0.48547,1.54422,1.56501,1.08664,0.00107532,0.00107532,0.00107532
7,505.809,1.50872,1.4224,1.09919,0.85331,0.62518,0.83979,0.45814,1.59564,1.6932,1.10899,0.00100459,0.00100459,0.00100459
8,595.038,1.44794,1.33778,1.07603,0.89767,0.71186,0.89501,0.49268,1.52859,1.47773,1.11109,0.000933851,0.000933851,0.000933851
9,678.709,1.43407,1.27289,1.07529,0.90891,0.86289,0.95128,0.50098,1.60284,1.27584,1.13867,0.000863116,0.000863116,0.000863116
10,774.054,1.49857,1.27733,1.06624,0.83141,0.94354,0.96489,0.51936,1.59387,1.23673,1.13294,0.00079238,0.00079238,0.00079238
11,868.583,1.37592,1.3268,1.0669,0.86758,0.95196,0.97344,0.53705,1.53473,1.27418,1.10106,0.000721645,0.000721645,0.000721645
12,941.525,1.39632,1.45756,1.04794,0.89789,0.93181,0.97161,0.55155,1.51366,1.19926,1.09974,0.000650909,0.000650909,0.000650909
13,1018.86,1.33238,1.28615,1.0419,0.91589,0.92911,0.97632,0.53757,1.53525,1.15312,1.11459,0.000580174,0.000580174,0.000580174
14,1090.67,1.30639,1.29229,1.04295,0.89143,0.94001,0.97308,0.53314,1.5747,1.21281,1.11285,0.000509438,0.000509438,0.000509438
15,1184.92,1.36696,1.28554,1.03925,0.95129,0.93397,0.98206,0.57116,1.49857,1.07902,1.08235,0.000438703,0.000438703,0.000438703
16,1266.17,1.28623,1.22064,1.04751,0.9249,0.98563,0.98736,0.59312,1.44026,1.0458,1.06586,0.000367967,0.000367967,0.000367967
17,1334.54,1.33299,1.18079,1.0046,0.94842,0.99225,0.98949,0.5939,1.43904,1.04387,1.06817,0.000297232,0.000297232,0.000297232
18,1408.1,1.32329,1.17482,1.01153,0.93759,0.97816,0.98738,0.5916,1.44335,1.04255,1.06573,0.000226497,0.000226497,0.000226497
19,1512.7,1.30933,1.16482,1.01251,0.96852,0.94544,0.98559,0.57953,1.45288,1.03285,1.06442,0.000155761,0.000155761,0.000155761
20,1618.24,1.26948,1.10857,1.01286,0.96975,0.94204,0.98522,0.58712,1.44636,1.02163,1.06227,8.50255e-05,8.50255e-05,8.50255e-05
