epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,75.223,1.81681,2.44761,1.25764,0.83279,0.58106,0.68694,0.34039,1.79749,2.51579,1.26784,0.00025722,0.00025722,0.00025722
2,146.125,1.68579,1.92946,1.19031,0.79347,0.77835,0.80799,0.34371,1.88426,3.11262,1.29486,0.000502558,0.000502558,0.000502558
3,228.804,1.67106,1.85328,1.14287,0.85619,0.79465,0.8717,0.36171,1.89185,2.13226,1.32565,0.000721016,0.000721016,0.000721016
4,298.801,1.66042,1.68986,1.1413,0.86376,0.80193,0.86955,0.39893,1.8642,1.52867,1.27742,0.000912595,0.000912595,0.000912595
5,370.987,1.60326,1.6485,1.14214,0.89859,0.8313,0.89332,0.43969,1.8507,1.47452,1.27633,0.00107729,0.00107729,0.00107729
6,437.864,1.55148,1.53031,1.11555,0.8516,0.80858,0.85215,0.43362,1.81094,1.49234,1.26267,0.00107532,0.00107532,0.00107532
7,502.349,1.62377,1.54195,1.1526,0.83656,0.82539,0.84196,0.42809,1.7255,1.4713,1.21709,0.00100459,0.00100459,0.00100459
8,566.753,1.56683,1.47805,1.09163,0.84494,0.84824,0.85911,0.43298,1.75797,1.40548,1.22095,0.000933851,0.000933851,0.000933851
9,642.608,1.55958,1.42346,1.10552,0.77638,0.79252,0.83351,0.44341,1.74614,1.4221,1.21439,0.000863116,0.000863116,0.000863116
10,761.433,1.59046,1.46871,1.11713,0.78949,0.80712,0.84911,0.46241,1.73391,1.3863,1.21937,0.00079238,0.00079238,0.00079238
11,834.164,1.48495,1.48103,1.12283,0.81325,0.8132,0.86152,0.45864,1.74714,1.4566,1.21868,0.000721645,0.000721645,0.000721645
12,913.982,1.43206,1.52207,1.11584,0.9055,0.85867,0.90229,0.47458,1.72763,1.31809,1.23348,0.000650909,0.000650909,0.000650909
13,1002.19,1.49148,1.4789,1.13942,0.9361,0.85335,0.89912,0.49235,1.70509,1.28036,1.21827,0.000580174,0.000580174,0.000580174
14,1076.79,1.48034,1.48663,1.10959,0.91813,0.82804,0.88195,0.47777,1.68101,1.23631,1.2008,0.000509438,0.000509438,0.000509438
15,1156.48,1.40255,1.4333,1.08755,0.86947,0.81471,0.86384,0.44425,1.76638,1.29161,1.23741,0.000438703,0.000438703,0.000438703
16,1238.75,1.33671,1.33533,1.07131,0.85888,0.78919,0.85705,0.44179,1.76345,1.3117,1.23757,0.000367967,0.000367967,0.000367967
17,1329.2,1.41629,1.33628,1.05688,0.87869,0.78594,0.86764,0.45334,1.73375,1.27049,1.22895,0.000297232,0.000297232,0.000297232
18,1414.64,1.36943,1.27252,1.07781,0.87329,0.84791,0.87644,0.47582,1.70643,1.22706,1.21011,0.000226497,0.000226497,0.000226497
19,1495.08,1.35037,1.29176,1.07288,0.88183,0.85338,0.87519,0.47759,1.68678,1.19825,1.19096,0.000155761,0.000155761,0.000155761
20,1560.88,1.3704,1.26501,1.05967,0.8853,0.8215,0.8767,0.4857,1.67447,1.19363,1.18147,8.50255e-05,8.50255e-05,8.50255e-05
