epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,126.766,2.04853,4.42504,1.30022,0.00216,0.20534,0.0501,0.01595,1.74289,4.25544,1.11093,0.00025722,0.00025722,0.00025722
2,242.956,1.85196,3.02052,1.14084,0.00164,0.18006,0.00952,0.00495,1.75497,3.92942,1.11704,0.000502558,0.000502558,0.000502558
3,352.678,1.79489,2.59435,1.1559,0.00583,0.61365,0.03101,0.01178,1.84058,3.57555,1.20521,0.000721016,0.000721016,0.000721016
4,463.027,1.71638,2.36149,1.11707,0.93701,0.21231,0.72675,0.3303,1.86887,2.88621,1.23784,0.000912595,0.000912595,0.000912595
5,582.513,1.63875,2.21331,1.11525,0.84004,0.63804,0.78309,0.37705,1.77531,2.3377,1.20115,0.00107729,0.00107729,0.00107729
6,695.8,1.59178,1.97747,1.09098,0.8042,0.62177,0.78517,0.37025,1.82432,2.00928,1.24264,0.00107532,0.00107532,0.00107532
7,819.364,1.64188,1.9545,1.13798,0.68165,0.63485,0.68779,0.3502,1.79307,2.18367,1.22467,0.00100459,0.00100459,0.00100459
8,954.963,1.65612,1.87682,1.09426,0.83688,0.76071,0.82234,0.41578,1.81233,1.70418,1.24192,0.000933851,0.000933851,0.000933851
9,1092.11,1.60655,1.70884,1.09271,0.85886,0.74072,0.83532,0.43262,1.72986,1.7029,1.18484,0.000863116,0.000863116,0.000863116
10,1231.68,1.65793,1.77461,1.10578,0.81054,0.76618,0.83503,0.42732,1.7493,1.65407,1.18619,0.00079238,0.00079238,0.00079238
11,1389.8,1.51429,1.80345,1.10209,0.85663,0.87292,0.90632,0.45811,1.7435,1.50445,1.17942,0.000721645,0.000721645,0.000721645
12,1519.08,1.44539,1.80092,1.06541,0.91618,0.81978,0.90656,0.47082,1.70197,1.40128,1.18906,0.000650909,0.000650909,0.000650909
13,1602.13,1.50884,1.7731,1.09217,0.84178,0.83253,0.86293,0.45808,1.72759,1.39798,1.2253,0.000580174,0.000580174,0.000580174
14,1685.13,1.54706,1.80205,1.12381,0.86333,0.83158,0.87981,0.46425,1.70148,1.39757,1.24169,0.000509438,0.000509438,0.000509438
15,1752.13,1.42637,1.67592,1.06767,0.87164,0.84144,0.88204,0.44716,1.73775,1.38793,1.24588,0.000438703,0.000438703,0.000438703
16,1834.29,1.3709,1.53249,1.06041,0.88318,0.85409,0.88511,0.45797,1.76438,1.40379,1.24108,0.000367967,0.000367967,0.000367967
17,1912.01,1.45728,1.57024,1.04851,0.88684,0.85334,0.88815,0.4627,1.73644,1.37668,1.22723,0.000297232,0.000297232,0.000297232
18,1997.51,1.40941,1.52278,1.06566,0.90465,0.84728,0.90086,0.47401,1.71156,1.36145,1.20255,0.000226497,0.000226497,0.000226497
19,2069.88,1.36664,1.50135,1.05614,0.92014,0.83816,0.90158,0.47315,1.71244,1.34574,1.1867,0.000155761,0.000155761,0.000155761
20,2140.56,1.38389,1.45537,1.04083,0.91501,0.83356,0.90198,0.47092,1.69694,1.35545,1.18135,8.50255e-05,8.50255e-05,8.50255e-05
