epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,153.463,2.14178,4.37116,1.34541,0.00155,0.13963,0.00129,0.00031,1.80702,4.32623,1.15333,0.00025722,0.00025722,0.00025722
2,297.405,1.92429,3.00858,1.16304,0.0005,0.06211,0.01938,0.01188,1.6622,3.9301,1.09379,0.000502558,0.000502558,0.000502558
3,439.135,1.85747,2.58134,1.1911,0.00442,0.54085,0.08755,0.03736,1.74058,3.62331,1.17085,0.000721016,0.000721016,0.000721016
4,586.141,1.75724,2.40286,1.14159,0.38909,0.13008,0.44066,0.22516,1.66619,3.05276,1.13405,0.000912595,0.000912595,0.000912595
5,749.779,1.65756,2.22585,1.1578,0.93394,0.30759,0.69523,0.34269,1.65479,2.68333,1.1345,0.00107729,0.00107729,0.00107729
6,911.828,1.62135,2.0049,1.11095,0.78968,0.53154,0.69577,0.32848,1.70805,2.39112,1.17222,0.00107532,0.00107532,0.00107532
7,1074.68,1.70335,2.01563,1.17238,0.86081,0.65612,0.79861,0.41616,1.59622,1.83343,1.12281,0.00100459,0.00100459,0.00100459
8,1214.49,1.6571,1.97098,1.09923,0.78489,0.67798,0.7776,0.40017,1.66485,1.86248,1.12062,0.000933851,0.000933851,0.000933851
9,1356.61,1.58927,1.84564,1.09867,0.82758,0.77903,0.86017,0.45497,1.62348,1.63763,1.09945,0.000863116,0.000863116,0.000863116
10,1458.14,1.61481,1.82799,1.11442,0.90456,0.75382,0.8728,0.46679,1.61083,1.62023,1.09625,0.00079238,0.00079238,0.00079238
11,1601.88,1.49276,1.89066,1.08689,0.8735,0.7359,0.86599,0.45793,1.6818,1.7062,1.13463,0.000721645,0.000721645,0.000721645
12,1735.15,1.49642,1.93382,1.10068,0.87488,0.82415,0.90822,0.48513,1.62442,1.63149,1.10726,0.000650909,0.000650909,0.000650909
13,1869.5,1.4968,1.86364,1.09237,0.946,0.80148,0.91788,0.49794,1.60057,1.57919,1.09745,0.000580174,0.000580174,0.000580174
14,2009.94,1.48353,1.74914,1.08882,0.90846,0.80915,0.93479,0.50835,1.59008,1.51794,1.11102,0.000509438,0.000509438,0.000509438
15,2147.1,1.41887,1.75238,1.04173,0.90619,0.84008,0.93612,0.47186,1.65292,1.47398,1.12822,0.000438703,0.000438703,0.000438703
16,2300.99,1.38323,1.61082,1.04061,0.94812,0.82198,0.95835,0.51352,1.62905,1.37056,1.1138,0.000367967,0.000367967,0.000367967
17,2471.25,1.42914,1.6567,1.03231,0.92807,0.85369,0.96614,0.52028,1.61916,1.33226,1.10505,0.000297232,0.000297232,0.000297232
18,2624.43,1.40849,1.55618,1.05688,0.92266,0.87789,0.96998,0.52472,1.60068,1.29692,1.09568,0.000226497,0.000226497,0.000226497
19,2801.43,1.33804,1.53132,1.0325,0.9423,0.87553,0.97343,0.51513,1.61104,1.27877,1.09797,0.000155761,0.000155761,0.000155761
20,2955.92,1.41413,1.48912,1.03417,0.90545,0.91076,0.97461,0.52178,1.59904,1.27056,1.09549,8.50255e-05,8.50255e-05,8.50255e-05
