epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.0477,2.40352,5.09083,1.54627,0.00018,0.01966,9e-05,1e-05,2.09615,4.57944,1.31547,0.00025722,0.00025722,0.00025722
2,172.198,1.9704,3.64024,1.23735,0.00206,0.20378,0.00345,0.00133,1.78054,3.9903,1.12284,0.000502558,0.000502558,0.000502558
3,255.154,1.95274,2.80538,1.22367,0.00664,0.70052,0.0191,0.00901,1.72564,5.08133,1.12135,0.000721016,0.000721016,0.000721016
4,332.528,1.77985,2.59098,1.1941,0.10836,0.21424,0.12074,0.05781,1.77052,3.76066,1.15985,0.000912595,0.000912595,0.000912595
5,415.821,1.72877,2.51266,1.12492,0.65188,0.5873,0.60816,0.32259,1.70322,2.47857,1.15473,0.00107729,0.00107729,0.00107729
6,497.636,1.68689,2.37789,1.1667,0.61651,0.58694,0.63426,0.32203,1.77867,2.3833,1.18623,0.00107532,0.00107532,0.00107532
7,580.923,1.69488,2.20508,1.15231,0.6393,0.66401,0.70659,0.37408,1.70428,1.99585,1.16905,0.00100459,0.00100459,0.00100459
8,664.501,1.65662,2.09652,1.14502,0.83317,0.63332,0.78298,0.38071,1.79924,1.85645,1.21138,0.000933851,0.000933851,0.000933851
9,744.298,1.62447,1.98315,1.13391,0.76609,0.70167,0.77925,0.42188,1.68315,1.77129,1.16235,0.000863116,0.000863116,0.000863116
10,818.726,1.60282,1.92574,1.10092,0.77812,0.6977,0.80232,0.43422,1.63827,1.74808,1.14099,0.00079238,0.00079238,0.00079238
11,905.463,1.52555,1.98042,1.09708,0.71102,0.77397,0.82508,0.43284,1.66799,1.71622,1.13976,0.000721645,0.000721645,0.000721645
12,999.946,1.50569,2.18562,1.07198,0.87285,0.69746,0.83725,0.40982,1.70544,1.78255,1.16529,0.000650909,0.000650909,0.000650909
13,1167.53,1.50218,1.88926,1.08416,0.81012,0.70688,0.82964,0.42392,1.67625,1.8346,1.14493,0.000580174,0.000580174,0.000580174
14,1310.54,1.44839,1.81058,1.06683,0.84508,0.64985,0.80591,0.45374,1.65623,1.77752,1.13133,0.000509438,0.000509438,0.000509438
15,1458.46,1.47644,1.88221,1.05146,0.82176,0.76147,0.82977,0.39586,1.79438,1.71663,1.18002,0.000438703,0.000438703,0.000438703
16,1593.86,1.46349,1.76905,1.09753,0.86232,0.74912,0.85378,0.43314,1.67468,1.62549,1.13194,0.000367967,0.000367967,0.000367967
17,1729.26,1.46469,1.76608,1.04266,0.86142,0.75387,0.8481,0.46063,1.58805,1.57968,1.10184,0.000297232,0.000297232,0.000297232
18,1862.8,1.42248,1.72976,1.04322,0.85088,0.78867,0.85182,0.45744,1.56954,1.56024,1.09485,0.000226497,0.000226497,0.000226497
19,1999.6,1.44694,1.65449,1.04504,0.95013,0.73333,0.8644,0.46119,1.58687,1.5291,1.10061,0.000155761,0.000155761,0.000155761
20,2133.75,1.39886,1.59432,1.04974,0.82279,0.81885,0.86679,0.44867,1.60469,1.51681,1.10687,8.50255e-05,8.50255e-05,8.50255e-05
